Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,5836,12696,-6960,-4974,33,4767,137,91,-54,-120,0,0,0,0,0,0,0,0
789,5763,12738,-6985,-4916,28,4774,124,131,-55,-83,0,0,0,0,0,0,0,0
6807,5685,12781,-7012,-4857,30,4744,148,169,-56,-80,0,0,0,0,0,0,0,0
29325,5600,12829,-7038,-4790,35,4724,148,239,-36,-97,0,0,0,0,0,0,0,0
51792,5508,12881,-7064,-4719,20,4739,165,308,-21,-100,0,0,0,0,0,0,0,0
67445,5508,12881,-7064,-4719,20,4739,165,308,-21,-100,88,114,167,39,25,24,32,82
74436,5422,12931,-7088,-4645,58,4779,172,311,0,-109,88,114,167,39,25,24,32,82
90668,5422,12931,-7088,-4645,58,4779,172,311,0,-109,89,112,169,39,26,24,31,83
92374,5344,12982,-7103,-4571,52,4751,133,251,37,-133,89,112,169,39,26,24,31,83
113093,5344,12982,-7103,-4571,52,4751,133,251,37,-133,77,124,156,37,26,25,32,67
114876,5273,13030,-7113,-4499,46,4742,140,209,54,-135,77,124,156,37,26,25,32,67
127483,5273,13030,-7113,-4499,46,4742,140,209,54,-135,69,127,167,42,25,25,29,60
134416,5201,13079,-7122,-4426,49,4727,146,232,59,-140,69,127,167,42,25,25,29,60
150664,5201,13079,-7122,-4426,49,4727,146,232,59,-140,65,123,168,42,27,28,31,56
152371,5129,13125,-7132,-4356,47,4729,103,209,41,-134,65,123,168,42,27,28,31,56
173119,5129,13125,-7132,-4356,47,4729,103,209,41,-134,74,115,187,40,27,28,28,58
174870,5069,13164,-7143,-4292,53,4785,94,161,26,-114,74,115,187,40,27,28,28,58
186731,5069,13164,-7143,-4292,53,4785,94,161,26,-114,74,104,165,36,26,26,32,56
195922,5020,13197,-7150,-4236,41,4776,114,83,24,-102,74,104,165,36,26,26,32,56
210626,5020,13197,-7150,-4236,41,4776,114,83,24,-102,65,89,168,39,26,31,31,61
212345,4983,13225,-7154,-4186,32,4772,115,17,27,-91,65,89,168,39,26,31,31,61
233151,4983,13225,-7154,-4186,32,4772,115,17,27,-91,75,94,164,33,27,30,32,65
234895,4954,13249,-7158,-4136,55,4750,116,-32,40,-81,75,94,164,33,27,30,32,65
247415,4954,13249,-7158,-4136,55,4750,116,-32,40,-81,75,91,159,34,26,28,35,64
254399,4927,13275,-7160,-4081,46,4696,86,-58,73,-70,75,91,159,34,26,28,35,64
270693,4927,13275,-7160,-4081,46,4696,86,-58,73,-70,69,77,118,29,23,27,35,58
272383,4899,13300,-7166,-4022,25,4718,94,-19,92,-38,69,77,118,29,23,27,35,58
293105,4899,13300,-7166,-4022,25,4718,94,-19,92,-38,72,85,122,35,27,29,39,59
294861,4865,13326,-7175,-3963,23,4727,106,28,81,-33,72,85,122,35,27,29,39,59
307418,4865,13326,-7175,-3963,23,4727,106,28,81,-33,71,83,142,36,25,23,40,52
314370,4837,13348,-7183,-3909,22,4738,101,-9,68,-26,71,83,142,36,25,23,40,52
330626,4837,13348,-7183,-3909,22,4738,101,-9,68,-26,56,86,146,40,26,25,38,39
332370,4816,13366,-7188,-3860,17,4755,119,-47,72,-27,56,86,146,40,26,25,38,39
353136,4816,13366,-7188,-3860,17,4755,119,-47,72,-27,55,117,144,40,28,25,35,40
354845,4796,13387,-7192,-3808,17,4707,138,-46,95,-30,55,117,144,40,28,25,35,40
367460,4796,13387,-7192,-3808,17,4707,138,-46,95,-30,50,117,145,39,29,25,35,43
374436,4768,13409,-7198,-3753,3,4683,135,-4,98,-21,50,117,145,39,29,25,35,43
390678,4768,13409,-7198,-3753,3,4683,135,-4,98,-21,57,118,143,38,26,24,37,56
392396,4730,13432,-7209,-3697,3,4691,120,60,72,-8,57,118,143,38,26,24,37,56
413115,4730,13432,-7209,-3697,3,4691,120,60,72,-8,56,119,116,34,28,25,36,57
414822,4691,13452,-7224,-3644,12,4721,106,68,42,7,56,119,116,34,28,25,36,57
426796,4662,13464,-7242,-3601,22,4749,94,4,11,32,56,119,116,34,28,25,36,57
434920,4662,13464,-7242,-3601,22,4749,94,4,11,32,60,108,110,33,28,24,42,59
450595,4648,13467,-7261,-3568,21,4763,108,-91,-16,59,60,108,110,33,28,24,42,59
451429,4648,13467,-7261,-3568,21,4763,108,-91,-16,59,57,74,109,33,25,22,42,58
473141,4641,13465,-7281,-3544,9,4749,116,-152,-33,82,57,74,109,33,25,22,42,58
473945,4641,13465,-7281,-3544,9,4749,116,-152,-33,82,58,90,109,33,30,22,42,58
