Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,5709,9646,-8849,-8031,3952,5035,-501,-12,56,-101,0,0,0,0,0,0,0,0
786,5706,9661,-8837,-8028,3929,5059,-499,15,63,-89,0,0,0,0,0,0,0,0
1596,5702,9676,-8829,-8022,3917,5073,-493,36,65,-72,0,0,0,0,0,0,0,0
21070,5697,9691,-8825,-8012,3908,5076,-483,65,65,-53,0,0,0,0,0,0,0,0
43598,5691,9705,-8824,-8001,3897,5072,-485,80,58,-38,0,0,0,0,0,0,0,0
58590,5684,9717,-8825,-7989,3896,5062,-499,80,50,-31,0,0,0,0,0,0,0,0
66693,5684,9717,-8825,-7989,3896,5062,-499,80,50,-31,35,52,36,28,25,66,60,55
81712,5678,9728,-8826,-7980,3918,5034,-503,71,39,-27,35,52,36,28,25,66,60,55
82489,5678,9728,-8826,-7980,3918,5034,-503,71,39,-27,34,46,34,27,23,56,50,50
104921,5673,9738,-8825,-7972,3947,5033,-514,59,40,-33,34,46,34,27,23,56,50,50
105646,5673,9738,-8825,-7972,3947,5033,-514,59,40,-33,33,44,32,25,23,48,43,47
118525,5667,9754,-8815,-7967,3979,5027,-541,38,60,-87,33,44,32,25,23,48,43,47
126814,5667,9754,-8815,-7967,3979,5027,-541,38,60,-87,32,41,28,26,23,38,42,43
141034,5664,9776,-8796,-7964,4007,5033,-546,10,99,-136,32,41,28,26,23,38,42,43
149179,5664,9776,-8796,-7964,4007,5033,-546,10,99,-136,30,41,37,26,23,33,37,38
164666,5652,9826,-8740,-7972,4216,5048,-578,-39,182,-382,30,41,37,26,23,33,37,38
165438,5652,9826,-8740,-7972,4216,5048,-578,-39,182,-382,32,46,43,27,27,32,36,41
188891,5641,9922,-8639,-7972,4137,5020,-645,-53,422,-659,32,46,43,27,27,32,36,41
