Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,3273,14513,1274,6741,1703,5010,-2810,2225,210,1232,0,0,0,0,0,0,0,0
7514,3070,14531,934,6854,2153,4685,-2332,35,450,2244,0,0,0,0,0,0,0,0
22518,2977,14519,503,6963,2127,4236,-1753,-744,323,2389,0,0,0,0,0,0,0,0
37520,2760,14595,237,6909,1814,4009,-1532,-44,60,1481,0,0,0,0,0,0,0,0
59958,2515,14750,243,6668,1396,3757,-1783,757,-612,12,0,0,0,0,0,0,0,0
68110,2515,14750,243,6668,1396,3757,-1783,757,-612,12,89,51,43,78,306,155,90,105
82437,2223,14953,353,6304,1911,3694,-2350,1218,-1297,-588,89,51,43,78,306,155,90,105
90616,2223,14953,353,6304,1911,3694,-2350,1218,-1297,-588,150,73,50,77,309,172,197,261
97558,2265,15008,466,6150,2499,3447,-2914,89,-825,-776,150,73,50,77,309,172,197,261
113051,2265,15008,466,6150,2499,3447,-2914,89,-825,-776,166,81,53,73,293,183,219,279
120034,2613,14933,460,6194,2523,3981,-3017,-1864,325,-678,166,81,53,73,293,183,219,279
128127,2613,14933,460,6194,2523,3981,-3017,-1864,325,-678,179,94,61,82,281,216,228,301
145160,3144,14763,332,6362,2176,4081,-2516,-3356,1228,-453,179,94,61,82,281,216,228,301
146019,3273,14513,1274,6741,1703,5010,-2810,2225,210,1232,179,94,61,82,281,216,228,301
146819,3070,14531,934,6854,2153,4685,-2332,35,450,2244,179,94,61,82,281,216,228,301
147681,2977,14519,503,6963,2127,4236,-1753,-744,323,2389,179,94,61,82,281,216,228,301
152611,2760,14595,237,6909,1814,4009,-1532,-44,60,1481,179,94,61,82,281,216,228,301
153512,2515,14750,243,6668,1396,3757,-1783,757,-612,12,179,94,61,82,281,216,228,301
154239,2515,14750,243,6668,1396,3757,-1783,757,-612,12,89,51,43,78,306,155,90,105
160109,2515,14750,243,6668,1396,3757,-1783,757,-612,12,150,73,50,77,309,172,197,261
176050,2265,15008,466,6150,2499,3447,-2914,89,-825,-776,150,73,50,77,309,172,197,261
176836,2265,15008,466,6150,2499,3447,-2914,89,-825,-776,166,81,53,73,293,183,219,279
198527,2613,14933,460,6194,2523,3981,-3017,-1864,325,-678,166,81,53,73,293,183,219,279
199316,2613,14933,460,6194,2523,3981,-3017,-1864,325,-678,179,94,61,82,281,216,228,301
221036,3144,14763,332,6362,2176,4081,-2516,-3356,1228,-453,179,94,61,82,281,216,228,301
221840,3144,14763,332,6362,2176,4081,-2516,-3356,1228,-453,180,93,61,81,255,218,231,304
