Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-4828,12940,356,8805,2347,2706,1027,-38,129,25,0,0,0,0,0,0,0,0
7166,-4842,12928,346,8816,2351,2725,1023,41,105,41,0,0,0,0,0,0,0,0
14468,-4853,12919,342,8824,2327,2807,1004,59,87,36,0,0,0,0,0,0,0,0
37023,-4851,12917,332,8827,2314,2827,998,-18,60,45,0,0,0,0,0,0,0,0
51998,-4842,12925,307,8822,2331,2753,979,-123,22,73,0,0,0,0,0,0,0,0
67619,-4842,12925,307,8822,2331,2753,979,-123,22,73,31,66,80,366,72,52,53,53
68429,-4842,12925,307,8822,2331,2753,979,-123,22,73,31,66,80,366,72,52,53,53
74606,-4844,12932,286,8812,2360,2703,992,-66,-20,87,31,66,80,366,72,52,53,53
90125,-4844,12932,286,8812,2360,2703,992,-66,-20,87,32,67,80,359,84,50,41,32
90927,-4844,12932,286,8812,2360,2703,992,-66,-20,87,32,67,80,359,84,50,41,32
97081,-4853,12939,273,8796,2386,2731,990,-9,-59,99,32,67,80,359,84,50,41,32
113376,-4853,12939,273,8796,2386,2731,990,-9,-59,99,34,64,75,358,84,50,39,32
114134,-4853,12939,273,8796,2386,2731,990,-9,-59,99,34,64,75,358,84,50,39,32
115080,-4857,12948,258,8781,2426,2730,1005,-43,-76,109,34,64,75,358,84,50,39,32
127584,-4857,12948,258,8781,2426,2730,1005,-43,-76,109,31,54,86,437,97,50,36,29
128404,-4857,12948,258,8781,2426,2730,1005,-43,-76,109,31,54,86,437,97,50,36,29
134582,-4856,12961,236,8762,2456,2689,1013,-98,-104,125,31,54,86,437,97,50,36,29
150096,-4856,12961,236,8762,2456,2689,1013,-98,-104,125,31,52,86,425,94,50,41,44
150905,-4856,12961,236,8762,2456,2689,1013,-98,-104,125,31,52,86,425,94,50,41,44
157055,-4859,12977,214,8738,2460,2691,991,-87,-131,148,31,52,86,425,94,50,41,44
173284,-4859,12977,214,8738,2460,2691,991,-87,-131,148,36,45,82,448,92,47,37,45
174108,-4859,12977,214,8738,2460,2691,991,-87,-131,148,36,45,82,448,92,47,37,45
175040,-4868,12995,192,8707,2430,2714,979,-56,-163,190,36,45,82,448,92,47,37,45
187710,-4868,12995,192,8707,2430,2714,979,-56,-163,190,39,39,93,471,83,44,34,45
188504,-4868,12995,192,8707,2430,2714,979,-56,-163,190,39,39,93,471,83,44,34,45
203302,-4868,12995,192,8707,2430,2714,979,-56,-163,190,39,39,93,471,83,44,34,45
204117,-4868,12995,192,8707,2430,2714,979,-56,-163,190,39,39,93,471,83,44,34,45
205031,-4878,13016,168,8670,2413,2715,988,-65,-204,215,39,39,93,471,83,44,34,45
212158,-4878,13016,168,8670,2413,2715,988,-65,-204,215,38,40,109,543,103,48,34,45
212978,-4878,13016,168,8670,2413,2715,988,-65,-204,215,38,40,109,543,103,48,34,45
213778,-4878,13016,168,8670,2413,2715,988,-65,-204,215,38,40,109,543,103,48,34,45
214603,-4878,13016,168,8670,2413,2715,988,-65,-204,215,38,40,109,543,103,48,34,45
219603,-4878,13016,168,8670,2413,2715,988,-65,-204,215,38,40,109,543,103,48,34,45
220427,-4878,13016,168,8670,2413,2715,988,-65,-204,215,38,40,109,543,103,48,34,45
221239,-4878,13016,168,8670,2413,2715,988,-65,-204,215,38,40,109,543,103,48,34,45
222059,-4878,13016,168,8670,2413,2715,988,-65,-204,215,38,40,109,543,103,48,34,45
224555,-4889,13042,140,8626,2369,2655,1014,-96,-254,215,38,40,109,543,103,48,34,45
240813,-4889,13042,140,8626,2369,2655,1014,-96,-254,215,40,49,125,625,117,56,34,46
241604,-4889,13042,140,8626,2369,2655,1014,-96,-254,215,40,49,125,625,117,56,34,46
